Level,Salary
1,1798
2,3981
3,7874
4,10627
5,13665
6,16703
7,19741
8,22779
9,25817
10,28855
11,31893
12,34931
13,37969
14,41007
15,44045
16,47083
17,50121
18,53159
19,56197
20,59235
21,62273
22,65311
23,68349
24,71387
25,74425
26,77463
27,80501
28,83539
29,86577
30,89615
31,92653
32,95691
33,98729
34,101767
35,104805
36,107843
37,110881
38,113919
39,116957
40,119995
41,123033
42,126071
43,129109
44,132147
45,135185
46,138223
47,141261
48,144299
49,147337
50,150375
51,153413
52,156451
53,159489
54,162527
55,165565
56,168603
57,171641
58,174679
59,177717
60,180755
61,183793
62,186831
63,189869
64,192907
65,195945
66,198983
67,202021
68,205059
69,208097
70,211135
71,214173
72,217211
73,220249
74,223287
75,226325
76,229363
77,232401
78,235439
79,238477
80,241515
81,244553
82,247591
83,250629
84,253667
85,256705
86,259743
87,262781
88,265819
89,268857
90,271895
91,274933
92,277971
93,281009
94,284047
95,287085
96,290123
97,293161
98,296199
99,299237
100,302275
101,305313
102,308351
103,311389
104,314427
105,317465
106,320503
107,323541
108,326579
109,329617
110,332655
111,335693
112,338731
113,341769
114,344807
115,347845
116,350883
117,353921
118,356959
119,359997
120,363035
121,366073
122,369111
123,372149
124,375187
125,378225
126,381263
127,384301
128,387339
129,390377
130,393415
131,396453
132,399491
133,402529
134,405567
135,408605
136,411643
137,414681
138,417719
139,420757
140,423795
141,426833
142,429871
143,432909
144,435947
145,438985
146,442023
147,445061
148,448099
149,451137
150,454175
151,457213
152,460251
153,463289
154,466327
155,469365
156,472403
157,475441
158,478479
159,481517
160,484555
161,487593
162,490631
163,493669
164,496707
165,499745
166,502783
167,505821
168,508859
169,511897
170,514935
171,517973
172,521011
173,524049
174,527087
175,530125
176,533163
177,536201
178,539239
179,542277
180,545315
181,548353
182,551391
183,554429
184,557467
185,560505
186,563543
187,566581
188,569619
189,572657
190,575695
191,578733
192,581771
193,584809
194,587847
195,590885
196,593923
197,596961
198,599999
199,603037
200,606075
