cgpa,package
7.5,15.2
8.3,16.9
5.6,11.1
9.1,18.5
6.8,14
7.2,14.5
8.9,18.2
5.9,12
7.8,16
6.5,13.2
7.1,14
8,16.1
6,12.5
7.4,15
8.5,17.2
5.7,11.5
9,18
6.9,14.2
7.6,15.8
8.2,16.5
6.3,13
7.9,15.9
5.8,11.7
8.4,16.8
7,14.1
6.7,13.4
8.1,16.2
7.3,14.6
6.2,12.4
8.6,17.1
7.7,15.4
6.4,12.8
8.3,16.7
7.5,15
6.8,13.6
7.2,14.4
8.9,18.1
5.9,12.1
7.8,16
6.5,13
7.1,14.2
8,16.1
6,12
7.4,15
8.5,17
5.7,11.4
9,18.2
6.9,14.1
7.6,15.5
8.2,16.4
6.3,13.1
7.9,15.8
5.8,11.9
8.4,16.9
7,14
6.7,13.3
8.1,16.1
7.3,14.5
6.2,12.3
8.6,17.2
7.7,15.6
6.4,12.7
8.3,16.5
7.5,15.1
6.8,13.8
7.2,14.3
8.9,18
5.9,12
7.8,16.1
6.5,13.1
7.1,14
8,16.2
6,12.1
7.4,15.1
8.5,17.1
5.7,11.6
9,18.1
6.9,14.3
7.6,15.7
8.2,16.6
6.3,13.2
7.9,15.9
5.8,11.8
8.4,16.8
7,14.2
6.7,13.5
8.1,16.3
7.3,14.7
6.2,12.5
8.6,17
7.7,15.5
6.4,12.9
8.3,16.6
7.5,15.2
6.8,13.9
7.2,14.5
8.9,18.2
5.9,12.2
7.8,16.1
6.5,13.2
7.1,14.1
8,16.3
6,12.2
7.4,15.2
8.5,17.2
5.7,11.7
9,18.3
6.9,14.4
7.6,15.8
8.2,16.7
6.3,13.3
7.9,16
5.8,11.9
8.4,16.9
7,14.3
6.7,13.6
8.1,16.4
7.3,14.8
6.2,12.6
8.6,17.1
7.7,15.6
6.4,13
8.3,16.7
7.5,15.3
6.8,14
7.2,14.6
8.9,18.3
5.9,12.3
7.8,16.2
6.5,13.3
7.1,14.2
8,16.4
6,12.3
7.4,15.3
8.5,17.3
5.7,11.8
9,18.4
6.9,14.5
7.6,15.9
8.2,16.8
6.3,13.4
7.9,16.1
5.8,12
8.4,17
7,14.4
6.7,13.7
8.1,16.5
7.3,14.9
6.2,12.7
8.6,17.2
7.7,15.7
6.4,13.1
8.3,16.8
7.5,15.4
6.8,14.1
7.2,14.7
8.9,18.4
5.9,12.4
7.8,16.3
6.5,13.4
7.1,14.3
8,16.5
6,12.4
7.4,15.4
8.5,17.4
5.7,11.9
9,18.5
6.9,14.6
7.6,16
8.2,16.9
6.3,13.5
7.9,16.2
5.8,12.1
8.4,17.1
7,14.5
6.7,13.8
8.1,16.6
7.3,15
6.2,12.8
8.6,17.3
7.7,15.8
6.4,13.2
8.3,16.9
7.5,15.5
6.8,14.2
7.2,14.8
8.9,18.5
5.9,12.5
7.8,16.4
6.5,13.5
